region	resource	free	provider_name	provider_addloc	address	city	state	zip	lat	lon	contact	call_in_advance	email	cuisine	instructions	offers	notes	web_link	twitter	instagram	facebook	local	status	mon	tues	wed	thr	fri	sat	sun	sp_mon	sp_tues	sp_wed	sp_thr	sp_fri	sp_sat	sp_sun	special_hours	order_online	pay_online	must_preorder	in_store	in_store_pickup	curbside	drive_thru	delivery	farm_pickup	farmers_market	business_closed	discount_medical	meal_student	meal_senior	meal_public	family_meal	free_produce	free_groceries	quality_check_complete	last_update	updated_by	week_1	week_2	week_3	week_4	week_5	SNAP	WIC
san_mateo_county	grocery	0	One Stop Market	""	1493 E Bayshore Rd	East Palo Alto	CA	94303	37.462875	-122.14422	(650) 321-4146	0	""	""	EBT at register	""			""	""	https://www.facebook.com/pages/category/Convenience-Store/One-Stop-Market-804613849880922/	0	1	6:00 AM - 11:00 PM	6:00 AM - 11:00 PM	6:00 AM - 11:00 PM	6:00 AM - 11:00 PM	6:00 AM - 11:00 PM	6:00 AM - 12:00 AM	8:00 AM - 11:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25	MM	""	""	""	""	""	1	0
san_mateo_county	grocery	0	Garden Market	""	1933 Pulgas Ave	East Palo Alto	CA	94303	37.455166	-122.12993	(650) 323-7626	0	""	""	EBT at register	""			""	""	https://www.facebook.com/pages/category/Convenience-Store/Garden-Market-109238127256033/	0	1	6:00 AM - 11:00 PM	6:00 AM - 11:00 PM	6:00 AM - 11:00 PM	6:00 AM - 11:00 PM	6:00 AM - 12:00 AM	6:00 AM - 12:00 AM	8:00 AM - 11:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25	MM	""	""	""	""	""	1	0
san_mateo_county	grocery	0	Target 3265	""	1775 E Bayshore Rd	East Palo Alto	CA	94303	37.458858	-122.1373	(650) 388-7949	0	""	""	EBT at register	""		https://www.target.com/sl/east-palo-alto-ca/3265	""	""		0	1	7:00 AM - 9:00 PM	7:00 AM - 9:00 PM	7:00 AM - 9:00 PM	7:00 AM - 9:00 PM	7:00 AM - 9:00 PM	8:00 AM -  9:00 PM	8:00 AM -  9:00 PM	0	7:00 AM - 8:00 AM	7:00 AM - 8:00 AM	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25	MM	""	""	""	""	""	1	0
san_mateo_county	grocery	0	The Market At Edgewood	""	2170 W Bayshore Rd	East Palo Alto	CA	94303	37.462952	-122.14575	(650) 665-7590	0	""	""	EBT at register	""	PLEASE ALLOW A 4-6 HOUR TURNAROUND (MAY BE LONGER DURING HIGH VOLUME TIMES). ORDERS PLACED AFTER 3PM FOR PICK-UP AND 12PM FOR DELIVERY MAY GET FILLED THE NEXT DAY, DEPENDING ON ORDER VOLUME. For deliveries, there’s a $50 minimum order size. A 15% personal shopping fee will apply to all orders, and for deliveries a flat $15 delivery fee for 5 mile radius (extra fees may apply for further distances). We’re doing our best for our community, however please note there are high labor costs associated with this service. Please consider picking up curb-side (or sending a friend/neighbor to pick up) to minimize charges if that’s important for you.	https://www.marketatedgewood.com/	""	""	https://www.facebook.com/THEMARKETatEdgewood/	0	1	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25	MM	""	""	""	""	""	1	0
san_mateo_county	grocery	0	PAL MARKET	""	2398 University Ave	East Palo Alto	CA	94303	37.471428	-122.13942	(650) 321-4163	0	""	""	EBT at register	""			""	""	https://www.facebook.com/palmarket94303/	0	1	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25	MM	""	""	""	""	""	1	0
san_mateo_county	grocery	0	Charlies Market	""	1441 E Bayshore Rd	East Palo Alto	CA	94303	37.463184	-122.14483	(650) 325-6868	0	""	""	EBT at register	""			""	""	https://www.facebook.com/pages/Charlies-Market/155353684501940	0	1	0	10:00 AM - 4:00 PM	10:00 AM - 4:00 PM	10:00 AM - 4:00 PM	10:00 AM - 4:00 PM	10:00 AM - 4:00 PM	10:00 AM - 4:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			""	""	""	""	""	1	0
san_mateo_county	grocery	0	Country Time Market, LLC	""	2200 University Ave	East Palo Alto	CA	94303	37.465874	-122.1415	(650) 322-6919	0	""	""	EBT at register	""			""	""		0	1	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	9:00 AM - 8:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25	MM	""	""	""	""	""	1	0
san_mateo_county	grocery	0	La Estrellita Market	""	2387 University Ave	East Palo Alto	CA	94303	37.470959	-122.13992	(650) 328-0799	0	""	""	EBT at register	""			""	""		0	1	8:00 AM - 7:00 PM	8:00 AM - 7:00 PM	8:00 AM - 7:00 PM	8:00 AM - 7:00 PM	8:00 AM - 7:00 PM	8:00 AM - 7:00 PM	8:00 AM - 7:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			""	""	""	""	""	1	1
san_mateo_county	grocery	0	Cardenas 215	""	1731 E Bayshore Rd	East Palo Alto	CA	94303	37.459408	-122.1379	(650) 248-2171	0	""	""	EBT at register	""		https://locations.cardenasmarkets.com/ll/US/CA/East-Palo-Alto/1731-E-Bayshore-Rd	""	""		0	1	8:00 AM - 9:00 PM	8:00 AM - 9:00 PM	8:00 AM - 9:00 PM	8:00 AM - 9:00 PM	8:00 AM - 9:00 PM	8:00 AM - 9:00 PM	8:00 AM - 9:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25	MM	""	""	""	""	""	1	0
san_mateo_county	grocery	0	La Tiendita	""	510 Oconnor St	East Palo Alto	CA	94303	37.460369	-122.14378	(650) 853-0632	0	""	""	EBT at register	""			""	""	https://www.facebook.com/pages/category/Farmers-Market/La-Tiendita-Market-213656429055580/	0	1	7:00 AM - 8:00 PM	7:00 AM - 8:00 PM	7:00 AM - 8:00 PM	7:00 AM - 8:00 PM	7:00 AM - 8:00 PM	7:00 AM - 8:00 PM	7:00 AM - 8:00 PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			""	""	""	""	""	1	1
